AccountId,Pool Balance,Incentive Share
5Dz2LcfsVPVChqqu8XXmYkDAp3cgPEB92EnfK2Q2n13EyT3Q,0,1496562810606
5FuvMyfcg4RPTiUGSfLZcoqbdxgmTESoPMCHPUu42Mc5YgX8,0,196304436441
5ENjb3ouip8UnsDVgfDqSk9zcRoq4w4n8rzsxZV9hQ3BDAke,0,314129874660
5DFJsScUySVeJ8UPrQNBwqfjPN4P7ebrGQqQzeRg4J9ucnL1,0,6307792734920
5CUj2qeLRmfHP1SFcwE8NsyufzkH9rKJvhrACi8bZ9HaK3rf,12149115191,0
5GzxcGiwcyDY4Twhoi1aLK5EYhRaokwFJZLd4FEq1NtV1D2W,0,10593553501
5CqJcCW5SMqCZBA9KhGsB5KEjuGzfevLZ4998jmhKib1qpdQ,0,2318012023842
5F1qqJeVmECzW4fwxj2ymaLB7UhVvUhipZo5RJyu8zeGcWzp,0,15878392943
5F3w3KX8qaUgrA8hxKU8z8yw39zPRbDcxvLCqNg5iSUDssWG,401827024,0
5DXg2bP8w5D59cGJuV8hFZH2vFYGjt9SUanRo3sUFF8SFCBK,0,402867570215
5GREeQcGHt7na341Py6Y6Grr38KUYRvVoiFSiDB52Gt7VZiN,0,43724216728
5EFBd9EoC3txrgMvDsUbu8PaQ5NiDvTfPaSSLBZSt6P4xVaM,0,2132340899924
5Gy3HBdYRUVpVcUMKNjZJeXRpH7p6TLXkejcxmSz47ahpzLA,0,815509179037
5GBZm78cDzRxWLWuNtyBqwLQSR56HXaXDjdEHHaoZL47J1UH,0,222606344561
5CoMHs9VQBgUz5sxHmxvvKYupLKJXzZZchC5cSaABgcTQAeu,0,2895725846513
5EP3WQns43NRypgcqqb3sSXAugE73uExLXrtmzP4c9LEehyw,0,102053563412
5Ci3a3phaao3tfsY6fLGKXR4QB6kLWUQ5f7ESSgKoPVHVbBG,0,246959916683
5DFfKfb5H4SzMis1ZrP2tPWxzTq1aQGwBHrtmceiiEBQNDAy,0,200000000000
5G7HmJ1T8QPwB617axKgCeiwCPk7WiqqB41KrhKV8fWy3Q8V,0,20660655728019
5GKboSUiK8B1F7wzgmREddtkCLmPUMuUnSWcEeoMBpmob2QR,0,77671901300
5ENYimB42qGNXTPjUoUH5BZKs2iPXGEKcyDpuakhQkd5xskQ,9712394809,0
5F4XEVfWnmRhgztz5KtuXxCRaBEC2dmw4Xrzc369s5JSbjwe,0,42400698764
5GEjhmwC9255azTEtetNUBjX1czY5Z2dy5NGUoroT3A8DQRb,0,321364537915
