AccountId,Pool Balance
5Fmr9NrTrFL3RV7dBf31a1rkmthyz3wvDCnmGdqh9bY9Pp7x,7115298475502
5HdZGjnnFse8vGeFh2S27xKHYxLvjvVuoK1879i2wyXSX8AF,7396281064696515
5Dy5xv3xnEqQLcCPaD5qv75z11brkYLzMJmF4AMG38Ma77cV,68917651414178739
5HU1DxoUsjCCfZKQ2emX9uaYHAqHqu7nSAQHQ3pM58RyLooE,9668375067161201
5CqJcCW5SMqCZBA9KhGsB5KEjuGzfevLZ4998jmhKib1qpdQ,3198676862281618
5EtXZ798ZS9RtzhTbxbCoHYN2ZVdHK5Yzvo3qdQQas5XC3D9,10000000000
5E2AnJctXaKKggX9u2Nnwsqpzw8sYxcK3U521xMqVDZHrsBx,14507543226807677
5GREeQcGHt7na341Py6Y6Grr38KUYRvVoiFSiDB52Gt7VZiN,2360016400209
5D4rVcFgrWBptAQT9a17XUmksMq88i265FSiVHsFXCY9evJq,200214032286689
5CesEBkUSDJ4U5XBqYTz4yjvijH2jGRsLnRdH8eYBs81v9yz,200158640328507063
5EP3WQns43NRypgcqqb3sSXAugE73uExLXrtmzP4c9LEehyw,222588814682803
5H44BvZyX7zGn54KE6jvTABBwnSfBf6kmsd11dTowbhJupRj,2002169593609805
5FyFTDE8U2dWyocMnedLBh5PMjCuYsJRjZHAosbrcmLD1Xbc,30019434438576
5E7QPFfwyhbfM4iJPa2WfvgNPwrUAjbZCbMNMbnjZQSdkfKL,1029830106546873
5GTz97KnawgGMTZVBPGFZZj6AVMoYy6GXMkNRNPH7s9tRBdT,826153046047180
5G7HmJ1T8QPwB617axKgCeiwCPk7WiqqB41KrhKV8fWy3Q8V,44796916232
5Ea6L5GjM2Xiykwyhf75Kc6JncNXKMvT6TDhTgkJA9JYApHk,136503233783683
5EErCfGUa8qgLPs4BaDXXXBG9msjoBBZCvjYCcuUQXkz2Kne,282447016625576279
5DjpRWntrhWigUNZdMhDGmpBfYw2iSJoSW3ZbrGczG4YPZZG,400447160618574741
5Hq41GACzMNR6qupzZdMPsnBFg4wSovv9qJuTZAN8aSwN44z,5001043759440838
5G6eEHnBbokT4WrugPQP7Zm1nnbCcqtEANaxKAjPwL4ZHjVM,54416561738584
5CQ8QRp8VMyAJ1atSoSpdHTF52itZHULHdtKsNijYaA1RW4P,56903886538022
5G37EjzukybyVa4r8muHbrZ1aTLnHxFBSP9ajCEPonwYCMJK,688054242571555
5CXvrq3GHgsXopmTtCGzhtkLRkEEwtgfyhaFXnskJE8YTyXZ,3802825666842146
5DeyCtMXzWQfwdcBKGn84tepbfjdUL1NAB9gs8ADdHEt7Trw,21157294383782712
5DtkptGAdj7bLoXvTy7qNYc26sx5iggWHVLiojh3bKxMzfiJ,145875346063
5HeB6AnhGdewvUJkufWdbEfoJk4gG2h3ATMdAmszBdCZ27Ve,361260385811028
5G9Es892oATpPDnfGgGFS5McvYnjZpUVdVq9sfcwMVMTtNZC,22247663045970144
5ESE8xBQvePbGKuCMPTgsyUetUqrqT2eyJcnQgG15nayUMsn,5003631610783
5DMCXNBU8W7UuMQp6FibbXHm6AcCSx11gaPq8RZYkjmbEiya,3809895886470333
5GdnLe7t2VPrbUVszetCzKKtmH2rTDWoaEqCoQsZP2pzQait,102501548493788
5FZHxi7j86QuFsTFyvmbJh5RDxh3sBjKeWggn4GS8DRhigGo,2072610877144549
5HBVyX6JZkDt8YUWG5RFM5b3FtekJ9HNzMcDw2paEHSaM7m8,100345944320472
5FHwnP5LRpVz28hoj1jbBeatDsR6hKqy22qETZjzLoZ4SLzz,236551682488396
5D4nw4zCRs2zBvfjv2EnZhfdFaVPNBsE4RkxcsVLnvHN1rPC,20002689596971
5DbupDvLeBf8B6Qz8TFT9yzfNvgTceyE847HUkdzxEGnKVoa,5504725800302971
5EZG5iDfZpqLdwe3G4pbgJcSCaUMYPtfRubFXhtuSSmcBCaw,549456306353233
5FbXQWHcqBWNVY6wBaYwRDnwWmVMkJ8F9m1ogFqKMT8tugWw,320157308839047
5H3dTwZXqTCCwwc7F7jEfdfXz6Q4cXCTXALfwSqomJR6CguK,18003501485030
5DtrUkwsrtZ6DF6LYmqCAYCFCEin588TxCkm5o1dombNvFTx,8999956833322295
5D2atEVuNsCz5GJKDd9bVFEZtWp2vcvuC2uHves23FC4tMe2,131363920810324
5DjxYSSBYhbUyvaPkub5S2NQzCeJHuytwWzFNWvEztXGjHyz,746417317011625
5EZTRg4vuDT29v6gWp3p1CYgSoQuHvKs5iWrLNjw8XdYuJK9,270835261727371
5DXK1aY1DcRq2huEMUt2huKmrb7mUv1g4BcsNj64aVmDBwj4,19994321750590798
5E2QsndStQ89zAzY9doUv2WvY9HjTpNJ9uC2AB8ZaznbWXNu,18050064130583954
5GZawrcGKpu9BQ8WjG9s9LZnAbJSgbVgrNedCDYgoz5RH2aX,5002599948311293
5FW1NXfD9G9NjFD9d2chnd1oEK2PaQ1rHPCam7zqpJCPesYv,99275082365657
5Hm9WbxMuLb2oGqU699c7Nf1f1tkSpm2GRVYWg7NDThKjuNV,7763785713385
5DPNMAHaf1PV2cFGyFRCS3bmVyeEpoaVdDFw9sqp6hmpAJkg,1875364623652577
5GF7qeEbq6J4SK7oGsbFngqV3TWS9YL1L2pfuYkrMYPphB4q,599666121735376
5FUQqzctv4xisbDhrhwzWfJjezYhn5zXSmwHXYMn4Qs2Ezac,75420425605197
5Gru3MF8nF9W1gaZDgXq5QaKTAAT3WktTk1RU7t6Ca2UXshx,75006143063291291
5Cf9vyQBhhpycKH5eoRf7nCPsCicmZEnERUqzY1nff3RHiTq,6351432353238
5CfyFtZ2Rw9gWmDHxDFNBAj4MRuFVPz9e8yofmPbLZRLKWBz,162748733301097
5F4iSLxHMEYw9R3xjftAZ4NZZT9wfKkDiNbsaPtDnda6o8Fq,220399222450245
5CJX5TSEokNNvgN23BKDLg5wPrC1hjmNb99hwndgEJK5x5jK,81356250126093317
5GEMry94WvPwHCwdDFcEjBueFP4MrnNCDDB7tbff27Cmnu5k,6001325563313
5HYH1zVDPdszvwKUjDKs11HLgzFT1X6d4ho94BUmJTxqyDSw,117563018960645617
5CiignVUruKk6gWfBXmTXi6k7K4toxX5Niy2goaW1wi3JqCF,45623481787653
5D4ejSKFAKvahck5LezMqrKEd3AqmhG3ATtE6Nehamy3WSkT,760471046662523
5DAAtbSemjZJPWjBXNsHU6dGqZS2J9vVbzBBEQXfmrDTWcmQ,34349132222167
5DWntHtkniYkzWjCwcJoJnMyacwfGZBND9B9FH8npoCKzBz9,1065161945422202
5H1aLcNJkzVDQeRXtcJdVQSCXkUechCY1tmsNRCtaTQPYmbg,3759040734212002
5Dq31Eg5dwrm6Ltqi2vpZp8AeNwtxesG212oyWPtj3aNK6dC,64211693847
5DFT8448QfhnddLCRtb3s1uqWMnBijSV7EgdAkoVhfykhDPq,353108355029047
5FNNXRQAJDyTZojrNRPuhq32RRCCppVRZ2ckQCJFV5Vgc9uG,166163942171163
5G9pSYAqhkqcZFScBxdd9epKC4c5v75yGsXagqC6HJKSrdLd,34008641449515
5FUT3oPmttYxaEe8KbdXCwovvz7tSQHqmGzz968yGZtAcT8s,1133179187509831
5FLXTXyMkRnGQLC4LrgtD22yMZP3mqrgqs6nSnoi62A6d8U6,1536685006387092
5EWXeMJDsd65gHLKfT6EQod4erLuoZj1MmNh1mvbyQx69eUM,14713627974833
5GseNQLxXpsizfxLfY8TM6vWmCwkkYz5A2aPtsDs3qLPBHQE,12301904474524
5FU35Y6a89zDtz7DyGo8t9Xg4HkgM25rWyP6BGPehhmiopJ3,10000000000
5HNpf9ydo2C2TFBS1frahQeNDVdG2QABGckGsBNKxPq44Mgb,61924098900
5Dtu2D65WXPBt5jkGSDpKYfJLvS5fJW7NEPGzro1VZg2SXvT,1001569016685113
5Fmu43qLMNxjwWc7m4uPM6Xr9ATDRKukxZJSc117hqwqnfPh,1025897952264079
5FRBAAMoPshaG4fJoXShYMBG4FdGneQi2DZgrsurWqaTr41i,5318474329267642
5C5rWjRKfMExfmav864hS6aVXLG1183spgdUeQ7e1XuRMF2B,823606878600173
