AccountId,Pool Balance,Incentive Share
5F3w3KX8qaUgrA8hxKU8z8yw39zPRbDcxvLCqNg5iSUDssWG,401827024,0
5GREeQcGHt7na341Py6Y6Grr38KUYRvVoiFSiDB52Gt7VZiN,43724216728,0
5Ci3a3phaao3tfsY6fLGKXR4QB6kLWUQ5f7ESSgKoPVHVbBG,246959916683,0
5EFM3WZhaY79Yg2bYdKtj4555QjZubM5wGkfd6EWU1tm1SNx,209343162406,0
5G37EjzukybyVa4r8muHbrZ1aTLnHxFBSP9ajCEPonwYCMJK,24187215688,0
5FHwnP5LRpVz28hoj1jbBeatDsR6hKqy22qETZjzLoZ4SLzz,250040545485,0
5Dw2kMYviKMM9yMeKDX1i318ZvfboadQYapzQ1quCkyPqJ3s,1055227333460,0
5Da1EYudKfhQrwZrA3iRLu3rgXf8vnRf6icQxeSeJy72bLr3,385555206134,0
5Gru3MF8nF9W1gaZDgXq5QaKTAAT3WktTk1RU7t6Ca2UXshx,9976133204433,0
5H1aLcNJkzVDQeRXtcJdVQSCXkUechCY1tmsNRCtaTQPYmbg,10066888653,0
5Do4JCEjixckj84LBhftvgUYYMMneJNoCWsHXS8v1CZcVsGv,2605698734022,0
5DvibJKhceQ8gk52hoQ4CTbMG1NNMUYPtvDWBhqKs2LVGdr5,100000000,0
5DU564tLz8dymv1ikTtMakqdLzp1nutrSGUQo67JqeqALpQB,458078340,0
5G6GoquGzEbyDWXx7A7Fvp1626MZQGmUnojNLek2UiVnYuSn,82767219431,0
5DfFfo7AxJmPzsVLuEjEWhrqdLHXwjZ55PS1visBDDmmhDWf,281288835,0
5GZGGNfyGuknMpNCLnThB2u3SDVu43qYXFCG7wPrhiHbK5Ub,232092078594,0
5FLatVBwAAfjX7yKt2d1TGZWJFxNC9yAnRzxxyQbQQeRg6My,29571942026,0
5HmgxDrKNSbXQRK4gvNao74zVu3FC4wL86FBnuaWAQ4tvtQM,176165545510,0
5DvmF2mPdbrrRRLds4LM68h3pbNGo4XyeNXJPVUeCcxSL2Q5,446511348,0
5HeXq63icVSggCUe6j3XUStTiGb31eDZFFKjheTko5GqeFgr,2311187277,0
5GSQjwf3pJ8vG9QtbQd8sf9U4G77VaUxwFfAPgpzwDnQiF9U,30038105711,0
