AccountId,Pool Balance,DEX Balance,Incentive Share
5GW6jd4gZUyC1JCVPbfGHihdN65yWXqyG5m9WSA3Mjhmvuxx,52611535945,0,0
5CwBKuDiuP8a1V3FmhQ3KuHU59o6bvNBF5XxrwFufaDNjWke,0,0,84750000
5CSuucHmQq1BBugtLmUnC9nJzz5WBKiBPzHndK99VKtoKUth,0,0,34173550000
5DRuqshnZrBiU9uWFSXAwGprj8As8GEhLLpTgEtsg5h4xPuZ,0,0,40143300000
5CDEryDfPLfCY13qo2JgaKs2P45bXZmxysANjfpSj8FTpoei,52972763639,0,0
5Fmr9NrTrFL3RV7dBf31a1rkmthyz3wvDCnmGdqh9bY9Pp7x,0,0,38211296700
5FCD92U3Tz4mcXPpbNgS2jd3F49gHdLkck9Gcd3V6MeqgLb7,154497352192,3129416042856879,0
5EtCVbXX38wJG5ZbZT6SkVZ3swZwrUpHq4ihf4Vu6qvLHoy3,263968817,0,0
5CUTsSTGTrei3AiUzn4h3DZD6thZtMiiZp7uNDF5paaLygUR,0,0,591272220000
5DtRzvsStmo6XCgaidenK57PGeBexUK2fPTPxdgcFwkVixsX,0,0,100000000
5DLgxKbvdwy77f1hQKr8kkrrnXraw6XyhNTPCj6Xsu4vkWUf,0,0,11370000
5HdZGjnnFse8vGeFh2S27xKHYxLvjvVuoK1879i2wyXSX8AF,48603796135,0,0
5G94C61gT9N8rJ7dqcTn4nSjkc9pJ3R9Hde3axZkH7rziwXG,0,0,709355469896
5Dyo8jDPbTrTZd7fGx1uBeWHm4AJvUEXL36hgLLiBYfAqrmW,0,0,5444185200000
5GjHdkxJszimroKbZfzXZQRwXKFw1NwiNmtgHNuyHnXqBHAY,986111305,0,24759840000
5E7wmuKkwxrK59tPi4mYHwc1kHiJVyxepeHgRJGcvaRTSBny,0,97024947280253,0
5Gc5ruYcMmjdLGje38Vxe6fKA2xdjfBnoj2PqHkrSnWNMoA7,36034541364,0,1462483070000
5ECn4FGRM1cLS4GFYpP7JyepvFpkfQVa5Hf8UwbnzzhV6vz6,0,0,189328950000
5DPFkkiAfUYe2Dm3q9c5DpreE5DMdeHe5Dg8NtoULery3ugH,0,467994367463474,0
5DPYA3Qok97kxmktoRFxL6o7upZMfkphFHqkzRBRiGrw26oU,0,139748013479016,0
5CLavq2aALKTDCpn4MN2Mk2yCeGy9uxrSY7rkW5XfFuzSWM4,0,0,182350160000
5EvWC5DamKw79gtgp5W5kqPcr2FahTJvLUMWfGo9r59W9YqX,14846451435,0,0
5E5KbQgCRHB2HrdWJaThoArrDKPBYqcLFHioxuTUaHhhW2D9,0,172558967886237,0
5Cr6VaLeQ4PAYKPQ3c28EoZnmi1rJ2rQJ7SzCrYXVokuaiyd,0,0,438460000
5FUDzwzzdJn3SdWZSNFDie6tgCJchhMzgkSYa96uiWCWWaWV,470873786,16089958333579368,1204981370000
5ChmfHnXXbvBWyaUMxqEweseSEru7zgeabDBNtonz55PRBFN,0,0,391155875153
5F4KtVJ6ihbc6nbuTx7i9KU7ArhdiNJbJmMDyhmzZkmscG3W,0,0,2117296796269
5DhEtCdUjBRgknZBRTE8u3KK8KL4k3jnQjSi1Q9RyMfBu3y2,100000000,0,0
5GLCK2Dpo3KB8vCUnBy8vCNWWLY4eUrudMXMsqUjP81D7uFx,158420000,0,0
5DPbsyuzj5vAzBmr85tSL7N62quUEZgagwJeZPu1612F1tu5,0,0,7175150000
